12-6-25,North Little Rock Ark. (Simmons Bank Arena),Fresno State
12-13-25,Dallas Texas (American Airlines Center),Texas Tech
12-16-25,Bud Walton Arena,Queens
12-20-25,Newark N.J. (Prudential Center),Houston
12-29-25,Bud Walton Arena,James Madison
1-3-26,Bud Walton Arena,Tennessee
1-7-26,Oxford Miss.,Ole Miss
1-10-26,Auburn Ala.,Auburn
1-14-26,Bud Walton Arena,South Carolina
1-17-26,Athens Ga.,Georgia
1-20-26,Bud Walton Arena,Vanderbilt
1-24-26,Bud Walton Arena,LSU
1-27-26,Norman Okla.,Oklahoma
1-31-26,Bud Walton Arena,Kentucky
2-7-26,Starkville Miss.,Mississippi State
2-10-26,Baton Rouge La.,LSU
2-14-26,Bud Walton Arena,Auburn
2-18-26,Tuscaloosa Ala.,Alabama
2-21-26,Bud Walton Arena,Missouri
2-25-26,Bud Walton Arena,Texas A&M
2-28-26,Gainesville Fla.,Florida
3-4-26,Bud Walton Arena,Texas
3-7-26,Columbia Mo.,Missouri
